address,categories,city,country,key,lat,long,name,phones,postalCode,province,websites
6541 N Cosby Ave,"Restaurants, Kansas City Restaurants, Hawthorne - Picture Hills, Bars and Clubs, Appetizers, Brewery, Burgers, Grill, Salads, Sandwiches, Home, Missouri, Kansas City, Eating And Drinking Places, Eating places, Family restaurants",Kansas City,US,us/mo/kansascity/6541ncosbyave,39.213314,-94.64626,Brock's,8167410410,64151,MO,
7025 Industrial Rd,"Crafts & Craft Supplies Retail, Breweries, Microbreweries",W Melbourne,US,us/fl/wmelbourne/7025industrialrd,28.098259,-80.672867,Brock's Homebrew Supply,,32904,FL,
1941 W Galena Blvd,"Pubs, Bars & Pubs, Sports Bars, Restaurant, Pub, and Brewery, Taverns",Aurora,US,us/il/aurora/1941wgalenablvd/564469031,41.764404,-88.362526,Brody's Irish Pub,6307682053,60506,IL,brodysirishpub.com
1132 4th St,"Wholesale Alcohol, Brewers, Brewery, Wineries",San Rafael,US,us/ca/sanrafael/11324thst,37.973329,-122.529,Broken Drum Brewery,4154564677,94901,CA,
4295 Cromwell Rd,Brewers,Chattanooga,US,us/tn/chattanooga/4295cromwellrd/-1909757380,35.065976,-85.196186,Broken Oak Brewing,4233946711,37421,TN,
4731 W 10th St,Brewers,Greeley,US,us/co/greeley/4731w10thst/-391333679,40.421991,-104.757212,Broken Plow Brewery,9703014575,80634,CO,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJgZbo6OD-yB3cG26JquHlryMxo9xArv5tLY7bUbMLtc9pzftHNTTC3QDV45GcrLM18nKDj3m-eS6WEzeqCyB7W4w72G-2xcIPDyTa_28YMZNB9pa-6Q4XDcGp7gDF2ys6bRnzCNJYO60h065zVPxsSCVBclnnuWVYliPhz4zycTkgnmtdWhatnl6hq4oK2ZENSK2V4yDCTZ1gqP0kYx26SWeGBVO69_CTJ3L977jGrqJG-OLCh1dRITTovNIyBwJv0O5cL1dI_fdz-X5EIm6zO1mQSyKxlq64pI9XpJwlBZl_jLmonAa9cSQ0EucCc75mmqEO1rfetuRrhQtvnoldfHYApLIQ_KsritHX1GQChiz_hegAs-IooA&placement=listing_profile&cs_user=unknown&cs_session=84964c063571f3b26ea0b60864b556f5a77241fc
1529 University Blvd N,"breweries & brew pubs, bar & grill restaurants, Jacksonville Florida, Venues, Bar, Breweries & Brew Pubs, Bar & Grill Restaurants",Jacksonville,US,us/fl/jacksonville/1529universityblvdn,,,Broken Spoke,,32211-5229,FL,http://www.brokenspokeofnorthfl.com
5615 W Acoma Dr,"Food & Dining, Beverages, Breweries",Glendale,US,us/az/glendale/5615wacomadr/#46,33.61741,-112.180626,Bronwynn's Brew,6238109519,85306,AZ,
856 E 136th St,"Beverages Retail, Breweries, Wineries",Bronx,US,us/ny/bronx/856e136thst/-1692943135,40.801727,-73.910149,Bronx Brewery,,10454,NY,
20315 Georgia Ave,Brewery,Brookeville,US,us/md/brookeville/20315georgiaave/-2082627986,,,Brookeville Beer Farm,,20833,MD,
263 Prospect Ave,Brewery and Beer Garden South Slope,Brooklyn,US,us/ny/brooklyn/263prospectave/512366765,,,Brooklyn Bavarian Biergarten,7187880400,11215,NY,brooklynbavarianbiergarten.com
79 N 11th Saint (at Wythe Ave),Brewery,Brooklyn,US,us/ny/brooklyn/79n11thsaint(atwytheave),40.72158048,-73.95763711,Brooklyn Brewery,7184867422,11211,NY,http://www.brooklynbrewery.com
52033 Van Dyke Ave,Brewery,Shelby Township,US,us/mi/shelbytownship/52033vandykeave/-512141048,42.677197,-83.034325,Brooks Brewing,5868844741,48316,MI,
170 Robertson Blvd,"Clay Brick Common Brick & Brick Face, Mason Supplies & Materials, Brewer,  ME, Building & Construction, Brick,  Stone and Related Construction Materials, Brewer Masons' Materials, Masons' Materials, Wholesale Brick Clay Common and Face",Brewer,US,us/me/brewer/170robertsonblvd,,,Brooks Brick Co,2079893318,04412-2250,ME,http://morinbrick.com
554 S Main St,"Drinking Places, Bars / Taverns, Restaurant, food and drink, Restaurants & Bars, Brewer, ME, recreation",Brewer,US,us/me/brewer/554smainst,44.769737,-68.78023,Brookside Grill,2079896455,"04412, 04412-2422",ME,
6404 Amsterdam Way,"Bars & Clubs, Food & Drink, Nightlife, Breweries",Wilmington,US,us/nc/wilmington/6404amsterdamway/ste100,34.25994,-77.84695,Broomtail Craft Brewery,9106194622,28405,NC,
100 Brotherhood Plz Dr,"Wineries, Brewers, Marketing Consultants",Washingtonville,US,us/ny/washingtonville/100brotherhoodplzdr,41.431405,-74.161479,Brotherhood Winery,8454963661,10992,NY,
1209 N Water St,"Barbecue, Breweries & Brew Pubs, Bar & Grill Restaurants",Milwaukee,US,us/wi/milwaukee/1209nwaterst,,,Brother's Bar & Grill,,53202-2505,WI,http://brothersbar.com
398 S Orange Ave,"breweries & brew pubs, bar & grill restaurants, Restaurants, Taverns, Bars & Clubs, Bars & Pubs, recreation, food and drink",Newark,US,us/nj/newark/398sorangeave,40.74078,-74.20224,Brothers Cozy Corner,9736219766,07103-1923,NJ,
790 N Main St,"Bars & Clubs, Breweries, Nightlife, Food & Drink",Harrisonburg,US,us/va/harrisonburg/790nmainst/-543353677,38.45751,-78.86138,Brothers Craft Brewing,15404216599,22802,VA,
5000 Us Highway 17,Brewery and Wine Bar,Fleming Island,US,us/fl/flemingisland/5000ushighway17/ste12,,,Broudy's Fine Wine and Spirits,9042697029,32003,FL,broudys.com
110 E 22nd St,"Brewery, Brewery Coastal San Pedro",San Pedro,US,us/ca/sanpedro/110e22ndst,33.72744472,-118.2802382,Brouwerij West,3108339330,90731,CA,
57695 Van Dyke Rd,"Alterations and Tailors, shop, Home, clothing, Leather Clothes & Goods, Motorcycles Bicycles and Parts,  apparel, Automotive Dealers And Gasoline Service Stations,  & fashions, Brewery, Motorcycle dealers, Motorcycles & Motorcycle Dealers, Motorcycle parts and accessories, leather, retail",Washington,US,us/mi/washington/57695vandykerd,42.71870188,-83.03562198,Brown Iron Brewhouse,"5867863050, 5866973300",48094,MI,http://www.browniron.com
115 E Union St,"shop, clothing, apparel, & fashions, Brewers, retail",Morganton,US,us/nc/morganton/115eunionst,35.746181,-81.687863,"Brown Mountain Bottle Works, Llc","8284132678, 8284376505",28655,NC,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJg1TX68jt2QCh9Dx6P_4SPsJPQ1T4lphoKevMAAJ_VaSbhNC_yIZkFh4oMBBD-eXgrghQhmHLyRPTSojNx9KI7kf-2JtRTmmgYzI7IOCm-FnrcMzjLma5UKILwqJuCwMC0UDqCaiB-vWkNDbSgYJkHUyiYRgQi1LWMJeIcwcYw2le7BqX1ovM3RId6D0HyWe1wzn5BialvMV_EI13CW42LPFuOVrAkaLMUvRV2Ttimidlpc7cQyiCzzHGnPi8Y-vZGhTd2e4QYACKJTYAmqc3RX-DIjSB7mtsoyuWYUgS7CeSS79VQKNg1DCvK79194gtNZ_Few9NqFBd6ZWfudabDC1zegpiWg3cgPsPqIt5C9x_GZN6bA6JOc9iBo7AY_P8&placement=listing_profile&cs_user=unknown&cs_session=f1eb63e3192078258398f09eb838a2b9a34589f8
155 Salkum Rd,"Cocktail Lounges, Bars & Clubs, Bars & Pubs, Restaurants, Tavern (Drinking Places), Breweries & Brew Pubs, Drinking Places (Alcoholic Beverages), Restaurants & Bars,  WA, recreation, Salkum Pubs, Cocktail Lounge Restaurants, Salkum, Taverns, Bars, Bars / Taverns, food and drink, Bar & Grills, Bar & Grill Restaurants",Salkum,US,us/wa/salkum/155salkumrd,46.532184,-122.62966,Brown Shack Tavern,"3609850600, 3609852603","98582-9900, 98582",WA,
1234 N Main St,"Brewery Tours, Breweries, Food & Drink, Tours",High Point,US,us/nc/highpoint/1234nmainst/-26060767,35.971474,-80.01617,Brown Truck Brewery,,27262,NC,
60 Sparks Ave,"Brewer, ME, Energy & Resources, Refuse Systems, Brewer Rubbish Collection and Disposal, Brewer,  ME, Rubbish Collection and Disposal",Brewer,US,us/me/brewer/60sparksave,,,Browning-ferris Industries Inc,2079894000,04412-1445,ME,
417 River St,"Restaurant, Brewery, Gastropub, and Pub, Pub, Gastropub, Brewery",Troy,US,us/ny/troy/417riverst,42.735798,-73.687706,Brown's Brewing Company,5182732337,12180,NY,brownsbrewing.com
2874 S 7th St,"Bars & Clubs, food and drink, Restaurants, Breweries & Brew Pubs, Bars & Pubs, drinking, Sports Bars, Bar, recreation, Neighborhood Bars, Bar & Grill Restaurants, Taverns",Milwaukee,US,us/wi/milwaukee/2874s7thst,42.99209,-87.919883,Brown's Place Llc,4144819437,53215,WI,
200 Portion Rd,Brewery,Ronkonkoma,US,us/ny/ronkonkoma/200portionrd/-515520628,40.82643,-73.105615,Brownstone Brewing Company,6315881135,11779,NY,http://brownstonebrewing.com
5290 Arapahoe Ave,"Bars, Bistros, Brew Pubs, Caterers, Restaurants, Pubs, Beer & Ale, Breweries",Boulder,US,us/co/boulder/5290arapahoeave/-1356435810,40.014471,-105.229474,"Bru Handbuilt Ales Eats, Bru Handbuilt Ales & Eats",7206385193,80303,CO,http://bruboulder.com
8041 Benton Rd,"Woodville, NY, Beverages, Malt Beverages, Woodville Beer (Alcoholic Beverage), Beer (Alcoholic Beverage), Breweries, Woodville,  NY",Woodville,US,us/ny/woodville/8041bentonrd,,,Bruce Perry,3.16E+09,13650-2051,NY,
715 Dunn Way,Brewers,Placentia,US,us/ca/placentia/715dunnway/-460709796,33.861379,-117.879999,Bruery Llc,7149966258,92870,CA,
1174 N Grove St,Brewery,Anaheim,US,us/ca/anaheim/1174ngrovest/-1888461889,,,Bruery Terreux Tasting Room,7149666258,92806,CA,http://www.brueryterreux.com
1174 N Grove Saint Anaheim Ca 92806,Brewery,Anaheim,US,us/ca/anaheim/1174ngrovesaintanaheimca92806,,,Bruery Warehouse,,,CA,
3989 Main St,"breweries & brew pubs, bar & grill restaurants",Amherst,US,us/ny/amherst/3989mainst,,,Brunner's,7.17E+09,14226-3404,NY,http://www.brunnerstavern.com
2810 Corrine Dr,"Bar, Beer Garden, and Brewery, Bar and Beer Garden Audubon Park, Food Truck Colonial Town Center, Brewery, Bar, Food Truck, Bar, Beer Garden, and Brewery Audubon Park, Beer Garden, Bar and Beer Garden",Orlando,US,us/fl/orlando/2810corrinedr,28.56758118,-81.34766579,"Bruno's Big Bites, Redlight Redlight","(407) 893-9832, 4078939832",32803,FL,http://redlightredlightbeerparlour.com
35 Foley Dr,"Breweries & Brew Pubs, Bar & Grill Restaurants, recreation, food and drink, drinking",Vandalia,US,us/oh/vandalia/35foleydr,39.893198,-84.184947,Bruno's Den,9378904002,45377-2820,OH,
11111 Southern Blvd,"Sports Bar, American Restaurant, Brewery",Royal Palm Beach,US,us/fl/royalpalmbeach/11111southernblvd,26.682204,-80.222205,Bru's Room of Royal Palm,5617902771,33411,FL,https://www.facebook.com/BrusRoomSportsGrill
1400 Highway 175,"Churches, Brewers, Management Services, Wineries",Hopland,US,us/ca/hopland/1400highway175,38.977292,-123.098776,Brutocao Cellars,7077441066,95449,CA,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJdYK1UJm39X5XuM0196WcvwHou4QiGuvKzSAirKxz1wQ3DoAwP-wQ4zFG6oDArpHq2oDlvviXMLHtwt_pbF77-DalVhmsW5joE0MMHoHVElSYp_1e_HrGsBWURfAPNbSo-HngSPLMVL6CHUVqYGwsKlt_Lky1S6zgGn-DIwP0SP3aqa5RJ29dmh6g-mS0htMgh98BGKzIhSN31xnfz7vfVC-B2qvdsRi1SU2MTa0aXybDtH9uhzbX2BZP28Im99TziDkj2BZfP17Qf0Kj0GpCLe281RDJDd4cZ9eBrRI4Vv61kj18hmuvZ4QPzJABXiDABj_x5MU2uAmtG1xjT_pi2McM6VrOq0IfFGb_qlJ-9_k&placement=listing_profile&cs_user=unknown&cs_session=028fd4ca3db48d194a5d14698466b3bcbb5bbb29
474 Technology Way,"Winemaking Equipment & Supplies, Beer Makers Equipment & Supplies, Wineries Equipment & Supplies, Brewer Equipment Supplies & Services, Winery Equipment & Supplies",Napa,US,us/ca/napa/474technologyway/172172095,38.22473,-122.271328,Bsg Wine,7072522550,94558,CA,http://bsgwine.com
5846 N E Sandy Blvd,"Chinese Restaurant, Brewery",Portland,US,us/or/portland/5846nesandyblvd,,,Btu Brasserie & Brewery,9714073429,97213,OR,http://www.btupdx.com
3906 N Lidgerwood St,Brewers,Spokane,US,us/wa/spokane/3906nlidgerwoodst,47.69327,-117.405879,Bubba's Brew Crew,,99207,WA,
1350 W Southport Rd,"Take Out Restaurants, Bars, Brew Pubs, Restaurants, Breweries & Brew Pubs, Barbecue, Bar & Grills, Taverns, Bar & Grill Restaurants",Indianapolis,US,us/in/indianapolis/1350wsouthportrd/983604727,39.66383,-86.18355,Bubbaz Bar Grill,"3178653900, 3174129566","46217, 46217-9127",IN,http://bubbazsouthwest.com
675 Genoa Way,"Beer Store, Liquor Store, Breweries, Wine Shop, Beer & Ale Distributors, Liquor Stores, Wine & Distilled Beverages Retail, Liquor Store and Building, Beer & Ale Retail",Castle Rock,US,us/co/castlerock/675genoaway,39.410643,-104.870241,Bubbles Liquor World,"3034688100, (303) 468-8100",80109,CO,http://www.bubblesliquorworld.com
102 N Market St,"Bars & Clubs, Brew Pubs, Bars & Pubs, Restaurants, Brewery, Bar, Beer Garden, tour, Taverns, Tour",Mount Joy,US,us/pa/mountjoy/102nmarketst,40.111833,-76.502871,Bube's Brewery,7176532056,17552,PA,http://www.bubesbrewery.com
65 E 4th St,"Brew Pubs, Restaurants, Catering, Brewery, Bus Line, and American Restaurant",Winona,US,us/mn/winona/65e4thst/1128075432,44.050948,-91.636484,"Bub's Brewing Co, Bubs Brewing Co","5074522103, 5074573121",55987,MN,
15827 Commerce Ct,Brewery Greater Upper Marlboro,Upper Marlboro,US,us/md/uppermarlboro/15827commercect,,,Buck Distributing Co Inc,3019520400,20774,MD,
2030 N Curran Rd,"Breweries & Brew Pubs, Bar & Grill Restaurants, Tavern (Drinking Places), Drinking Places (Alcoholic Beverages)",Curran,US,us/mi/curran/2030ncurranrd,,,Buck Stop The,9898482266,48728-9701,MI,
1435 Us Highway 395 N,"bar & grill restaurants, Bars & Clubs, Bars & Pubs, Restaurants, breweries & brew pubs, Taverns",Gardnerville,US,us/nv/gardnerville/1435ushighway395n,38.758447,-119.574731,Buckaroos,7757829693,"89410, 89410-5287",NV,
9985 Walford Ave,"OH"">Brewery",Cleveland,US,us/oh/cleveland/9985walfordave,41.45583739,-81.75303519,Buckeye Brewery,2162815347,44102,OH,http://www.buckeyebrewing.com
82861 Parker Ln,"Breweries & Brew Pubs, Cocktail Lounges, Restaurants, Bar & Grill Restaurants, Dexter,  OR, Restaurants & Bars, Bars / Taverns, Dexter Pubs",Dexter,US,us/or/dexter/82861parkerln,,,Buckhorn Tavern,5419372542,97431-9610,OR,
 One Busch Pl,Breweries and Wineries,St. Louis,US,us/mo/st.louis/onebuschpl,,,Bud Select,,63118,MO,http://www.budweiserselect.com
7800 W Highway 71,Brewers,Austin,US,us/tx/austin/7800whighway71,30.243104,-97.883175,Buddha's Brew Kombucha,[5127364815],78735,TX,
2018 E Riverside Ave,"Brew Pubs, Restaurants, Food & Drink, Breweries, Beer & Ale",Spokane,US,us/wa/spokane/2018eriversideave/ste1,47.657825,-117.38019,Budge Brothers Brewery,"5095351126, 5094263340",99202,WA,http://www.budgebrothers.com
5165 Glacier Hwy,"Food & Dining, Beverages, Breweries",Juneau,US,us/ak/juneau/5165glacierhwy/-986607223,,,Budget Liquor,,99801,AK,
221 Dirigo Dr,"Brewer Me, Building & Construction, Equipment Rental and Leasing Nec, Brewer Rental Service-stores and Yards, Brewer,  ME, Equipment Rental and Leasing,  NEC",Brewer,US,us/me/brewer/221dirigodr/-1660274210,,,Budget Truck Rental,2079890008,04412-1665,ME,
1730 W State St,"Cocktail Lounges, Restaurants, Breweries & Brew Pubs, drinking, Venues, Cocktail Lounge Restaurants, recreation, Taverns, Bars, food and drink, Restaurant, Fremont Ohio, Bar, Bar & Grills, Bar & Grill Restaurants",Fremont,US,us/oh/fremont/1730wstatest,41.355824,-83.133354,Bud's Tavern,4193349275,43420,OH,
1217 S Fiesta Ave,"Food & Dining, Beverages, Breweries",Parker,US,us/az/parker/1217sfiestaave/267282754,34.149914,-114.283695,Budweiser Distributors,9286692958,85344,AZ,
17 Lindsay Ave,"Grocers' Wholesale, Beverages Retail, Breweries, Beer & Ale Distributors",Greenville,US,us/sc/greenville/17lindsayave/73613084,34.842399,-82.358767,Budweiser of Greenville,,29607,SC,
45 W Eh Crump Blvd,"Beer & Ale-Wholesale & Manufacturers, Winemaking Equipment & Supplies, Beverages-Distributors & Bottlers, Brewer Equipment Supplies & Services, Beer & Ale, Beverages Retail, Beer & Ale Distributors, Beer & Ale Retail",Memphis,US,us/tn/memphis/45wehcrumpblvd/-781734230,35.124475,-90.062881,Budweiser of Memphis,9019484543,38106,TN,
Concourse C,"Pub, American Restaurant, Brewery",Jacksonville,US,us/fl/jacksonville/concoursec,30.49063193,-81.68598829,Budweiser Track Bar and Grill (jax),,32218,FL,http://www.rickbayless.com/restaurants/tortas.html
5301 Nolda St,"Brewery Cottage Grove, Food & Drink, Breweries, Brewery, Alcoholic Beverages Wholesale & Manufacturers",Houston,US,us/tx/houston/5301noldast,29.776081,-95.416026,Buffalo Bayou Brewing Company,7137509795,77007,TX,http://buffbrew.com
6861 Main St,"American Restaurant, Restaurant, Brewery, American Restaurant, and Bar, Brewery, Bar",Williamsville,US,us/ny/williamsville/6861mainst,42.96524157,-78.69779617,"Buffalo Brew Pub, Buffalo Brewpub","7166320552, 17166320552",14221,NY,buffalobrewpub.com
5631 Park St N,"Italian Restaurant, Brewery, Bar",Saint Petersburg,US,us/fl/saintpetersburg/5631parkstn,27.823687,-82.75388,Buffalo City Bar & Grille,7275499464,33709,FL,http://www.buffalocitybar.com
29003 Possum Trot Rd,Breweries and Wineries,Stover,US,us/mo/stover/29003possumtrotrd/446643963,,,Buffalo Creek Winery,5733774535,65078,MO,http://www.buffalocreekwinery.com
2465 S Hwy 27,"Wings Joint, Brewery, Sports Bar, Bar, American Restaurant, Fl>wings Joint, Fl>brewery, Fl>sports Bar, Fl>bar, Fl>american Restaurant",Clermont,US,us/fl/clermont/2465shwy27,28.53821614,-81.73730493,Buffalo Wild Wings,3525362500,34711,FL,http://buffalowildwings.com
8035 Snouffer School Rd,"Breweries & Brew Pubs, Restaurants, Chicken Restaurants, American, Wings, Gaithersburg Restaurants, American / Bar / Wings, American / Chicken / Bar",Gaithersburg,US,us/md/gaithersburg/8035snoufferschoolrd/#c,39.159983,-77.161575,Buffalo Wings and Beer,,20879-4729,MD,http://www.buffalowingsandbeer.com
828 Northview Park Rd,Brewery,Eagan,US,us/mn/eagan/828northviewparkrd,,,Bugeater Brewery,,55123,MN,
715 N Courtenay Pkwy,Brewery,Merritt Island,US,us/fl/merrittisland/715ncourtenaypkwy,28.368968,-80.701263,Bugnutty Brewing Company,3214524460,32953,FL,http://bugnutty.com
100 Hubbard St,"Blacksburg, VA, Beverages, Malt Beverages, Blacksburg Brewers, (1),, Blacksburg,  VA, (1), ",Blacksburg,US,us/va/blacksburg/100hubbardst/1689883049,,,Bull & Bones Brewhaus & Grill,5409532855,24060-5724,VA,
4700 E Cherry Creek South Dr,"American Restaurant, Pub, Brewery, and American Restaurant, Pub, Brewery",Denver,US,us/co/denver/4700echerrycreeksouthdr,39.70308124,-104.9324887,Bull & Bush Pub and Brewery,"(303) 759-0333, 3037590333",80246,CO,http://bullandbush.com
107 E Parrish St,"Brewery, Burger Joint",Durham,US,us/nc/durham/107eparrishst,35.99553937,-78.89989499,Bull City Burger and Brewery,9196802333,27701,NC,http://www.bullcityburgerandbrewery.com
113 S Elizabeth St,"Food & Drink, Brewery, Breweries, Brewery Downtown Durham",Durham,US,us/nc/durham/113selizabethst,35.99045265,-78.89472213,Bull City Ciderworks,13367493074,27701,NC,bullcityciderworks.com
901 E Thomas St,Brewery,Wausau,US,us/wi/wausau/901ethomasst/500805221,,,Bull Falls Brewery,,54403,WI,http://www.bullfallsbrewery.com/
1 Industrial Way No8,"Food & Drink, Breweries",Portland,US,us/me/portland/1industrialwayno8,43.70281,-70.31997,Bull Jagger Brewing Company,,4103,ME,
Washington Ave,American Restaurant and Brewery,Tyrone,US,us/pa/tyrone/washingtonave,40.66431257,-78.25414723,Bull Pen,8146841992,16686,PA,
1409 119th St,Brewery and Bar,Whiting,US,us/in/whiting/1409119thst,41.6794814,-87.49519157,Bulldog Brewing Company,2196555284,46394,IN,bulldogbrewingco.com
11437 Sunrise Gold Cir,"Beverage Manufacturers, Breweries",Ranchocordova,US,us/ca/ranchocordova/11437sunrisegoldcir/47473380,38.597581,-121.262063,Bullet Proof Brands Co Inc,9166353718,95742,CA,
35 E Main St,"Bars & Clubs, food and drink, Bars & Pubs, drinking, Breweries & Brew Pubs, Ashland Ohio, Venues, Bar, recreation, Taverns, Bar & Grill Restaurants",Ashland,US,us/oh/ashland/35emainst,40.868503,-82.314189,Bullshooters,4192829774,44805,OH,
155 N Cedar St,"American Restaurant, Bar, and Brewery",Newark,US,us/oh/newark/155ncedarst/1913225201,40.0642,-82.38589,Bummie's Pub & Grub,7409154365,43055,OH,bummiesrestaurantnewarkoh.com
122 Anderson St,"Brewery, Beer Garden, and Speakeasy",Portland,US,us/me/portland/122andersonst,,,Bunker Brewing Company,2074505014,4101,ME,bunkerbrewingco.com
1400 Adlai Stevenson Dr,"Importers, Electric Fans, Government Contractors, Brewer Equipment Supplies & Services, Coffee Makers",Springfield,US,us/il/springfield/1400adlaistevensondr/1836037834,39.757382,-89.635247,Bunn-o-matic Corporation,,62703,IL,
25333 Jackson St,"Bars, Cocktail Lounges, Restaurants, Breweries & Brew Pubs, Barbecue, Cocktail Lounge Restaurants, Bar & Grills, Taverns, Bar & Grill Restaurants",Richland Center,US,us/wi/richlandcenter/25333jacksonst,43.33133,-90.52659,Bunny's,"6.085363457E9, 6085363457","53581, 53581-3900",WI,
2 7th St,Brewery,Astoria,US,us/or/astoria/27thst,,,Buoy Beer Co.,5034680800,97103,OR,buoybeer.com
8250 E Trade Center Dr,Brewers,Columbia,US,us/mo/columbia/8250etradecenterdr,38.954442,-92.211134,Bur Oak Brewing Co,5738862739,65201,MO,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJcQioG4un-4DzTQ_xAqKxzg3cKAN95IxUe5W116saEOeEezfKw3ktkW8mBo0e0AecagGJ_0ZWrUM1fusY7QaMv1ppkD02ndJsANqXsyesVAKviB-m3WxvGL7_5orQYUy5quO8DFVrUCZGI2ZyF12ED_Jv6t7p9c56NjZrGt3akyMfmNKamhtJh-FFW8Kgg0vk6hmPkbwpbtOjSy7x83DdFy4auwgIXT0v37DfjtasGmv9TELWkpjRkpF0bmNP_G2P3Gxgw3jhR0o7TLFJIk0CAtOxzi45UQ-Tsx4FUXjAClsBpRQaX0zXIAFv5rgkgCQ4hwslJ97UVWmAbp_CdfZdacy6odqo2T5b&placement=listing_profile&cs_user=unknown&cs_session=33d4f77547d0deeb3e1bd1c5804d8e5598275c0e
8103 8th Ave S,Brewery South Park,Seattle,US,us/wa/seattle/81038thaves,,,Burdick Brewery,2069099632,98108,WA,burdickbrewery.com
925 S H St,"Other, Food & Dining, Beverages, Breweries, Fort Smith,  AR, Advertising & Marketing, Advertising,  NEC, Fort Smith Distribution Services",Fort Smith,US,us/ar/fortsmith/925shst,35.375657,-94.424332,Burford Distributing Inc,4797838979,72901,AR,http://burfordfs.com
40 Collier Ave,"Other Food & Drink, Bars & Clubs, More, Food & Drink, Nightlife, Breweries, Brewery, Brewery Downtown Asheville",Asheville,US,us/nc/asheville/40collierave,35.58814069,-82.55373824,"Burial Beer Co., Burial Beer Co","18284752739, 8284752739",28801,NC,burialbeer.com
4900 Vernon St,"Office, Brewery, and Building",La Grange,US,us/il/lagrange/4900vernonst,,,Burke Beverage Inc,7086882000,60525,IL,burkebev.com
10016 Old Ocean City Blvd,Brewers,Berlin,US,us/md/berlin/10016oldoceancityblvd/-2001356296,38.333856,-75.21691,Burley Oak,4435134647,21811,MD,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJc-UogNO5xZk-BrkBYX721RyIZ-gkDsdMnKAfPx6kgwbT6GY25X5SqEn0Yo6t7PrF3lWIQpK0jwDVsmc15DfLjgYqs05-A_lTZqs-aQHvNtWhWa9Q8Do0xJoiqaLnNooOO1dV39ZidLhQL8AnqP_XZ-gPpTRyjd5larlB_r2vym9cgCoLHajFP2CquVzYiSre17_fjXSJIc2uWwh5pC9JVk7htUmjGZYgkSzdz81LBgPN3I_m9MgIbqwEz4lQEQCOX9qpEH9YkE4P3d1upNLoZJVOaKxeHK30zZp4fdtu9af7KN2LRlPt61pzNrDYDy73Ta_qQ_ttpXUbukIp_3R5NNEeuCTGhE03&placement=listing_profile&cs_user=unknown&cs_session=acf44573b5a12f0745a0e3ef82cefe175abc28d8
